path,label
processed_16k_data/ravdess_03-01-01-01-01-01-01.wav,No Stress
processed_16k_data/ravdess_03-01-01-01-01-02-01.wav,No Stress
processed_16k_data/ravdess_03-01-01-01-02-01-01.wav,No Stress
processed_16k_data/ravdess_03-01-01-01-02-02-01.wav,No Stress
processed_16k_data/ravdess_03-01-02-01-01-01-01.wav,No Stress
processed_16k_data/ravdess_03-01-02-01-01-02-01.wav,No Stress
processed_16k_data/ravdess_03-01-02-01-02-01-01.wav,No Stress
processed_16k_data/ravdess_03-01-02-01-02-02-01.wav,No Stress
processed_16k_data/ravdess_03-01-02-02-01-01-01.wav,No Stress
processed_16k_data/ravdess_03-01-02-02-01-02-01.wav,No Stress
processed_16k_data/ravdess_03-01-02-02-02-01-01.wav,No Stress
processed_16k_data/ravdess_03-01-02-02-02-02-01.wav,No Stress
processed_16k_data/ravdess_03-01-03-01-01-01-01.wav,Low Stress
processed_16k_data/ravdess_03-01-03-01-01-02-01.wav,Low Stress
processed_16k_data/ravdess_03-01-03-01-02-01-01.wav,Low Stress
processed_16k_data/ravdess_03-01-03-01-02-02-01.wav,Low Stress
processed_16k_data/ravdess_03-01-03-02-01-01-01.wav,Low Stress
processed_16k_data/ravdess_03-01-03-02-01-02-01.wav,Low Stress
processed_16k_data/ravdess_03-01-03-02-02-01-01.wav,Low Stress
processed_16k_data/ravdess_03-01-03-02-02-02-01.wav,Low Stress
processed_16k_data/ravdess_03-01-04-01-01-01-01.wav,Low Stress
processed_16k_data/ravdess_03-01-04-01-01-02-01.wav,Low Stress
processed_16k_data/ravdess_03-01-04-01-02-01-01.wav,Low Stress
processed_16k_data/ravdess_03-01-04-01-02-02-01.wav,Low Stress
processed_16k_data/ravdess_03-01-04-02-01-01-01.wav,Low Stress
processed_16k_data/ravdess_03-01-04-02-01-02-01.wav,Low Stress
processed_16k_data/ravdess_03-01-04-02-02-01-01.wav,Low Stress
processed_16k_data/ravdess_03-01-04-02-02-02-01.wav,Low Stress
processed_16k_data/ravdess_03-01-05-01-01-01-01.wav,High Stress
processed_16k_data/ravdess_03-01-05-01-01-02-01.wav,High Stress
processed_16k_data/ravdess_03-01-05-01-02-01-01.wav,High Stress
processed_16k_data/ravdess_03-01-05-01-02-02-01.wav,High Stress
processed_16k_data/ravdess_03-01-05-02-01-01-01.wav,High Stress
processed_16k_data/ravdess_03-01-05-02-01-02-01.wav,High Stress
processed_16k_data/ravdess_03-01-05-02-02-01-01.wav,High Stress
processed_16k_data/ravdess_03-01-05-02-02-02-01.wav,High Stress
processed_16k_data/ravdess_03-01-06-01-01-01-01.wav,High Stress
processed_16k_data/ravdess_03-01-06-01-01-02-01.wav,High Stress
processed_16k_data/ravdess_03-01-06-01-02-01-01.wav,High Stress
processed_16k_data/ravdess_03-01-06-01-02-02-01.wav,High Stress
processed_16k_data/ravdess_03-01-06-02-01-01-01.wav,High Stress
processed_16k_data/ravdess_03-01-06-02-01-02-01.wav,High Stress
processed_16k_data/ravdess_03-01-06-02-02-01-01.wav,High Stress
processed_16k_data/ravdess_03-01-06-02-02-02-01.wav,High Stress
processed_16k_data/ravdess_03-01-01-01-01-01-02.wav,No Stress
processed_16k_data/ravdess_03-01-01-01-01-02-02.wav,No Stress
processed_16k_data/ravdess_03-01-01-01-02-01-02.wav,No Stress
processed_16k_data/ravdess_03-01-01-01-02-02-02.wav,No Stress
processed_16k_data/ravdess_03-01-02-01-01-01-02.wav,No Stress
